"2014-12-31" : {"3. low":"23.6800","5. volume":"659119447","1. open":"24.2700","2. high":"25.1400","4. close":"24.7300"}
"2016-10-31" : {"3. low":"19.1100","5. volume":"1069515943","1. open":"19.2400","2. high":"19.9500","4. close":"19.7400"}
"2020-07-31" : {"3. low":"22.4900","5. volume":"1289420995","1. open":"23.2400","2. high":"24.4900","4. close":"24.0300"}
"2014-06-30" : {"3. low":"22.2000","5. volume":"535890400","1. open":"22.3100","2. high":"22.9300","4. close":"22.7400"}
"2019-01-31" : {"3. low":"23.4000","5. volume":"1217941348","1. open":"23.4700","2. high":"26.1700","4. close":"25.9400"}
"2011-09-30" : {"3. low":"11.3400","5. volume":"2305763700","1. open":"13.3700","2. high":"13.4200","4. close":"11.8100"}
"2012-08-31" : {"3. low":"14.3400","5. volume":"808432500","1. open":"14.7200","2. high":"15.3800","4. close":"15.1600"}
"2008-05-30" : {"3. low":"24.2900","5. volume":"1766433500","1. open":"26.5600","2. high":"28.1700","4. close":"24.7600"}
"2008-11-28" : {"3. low":"8.6700","5. volume":"3609672600","1. open":"15.4900","2. high":"16.5300","4. close":"12.6600"}
"2016-04-29" : {"3. low":"21.8500","5. volume":"915468223","1. open":"22.3900","2. high":"23.7700","4. close":"23.3100"}
"2013-07-31" : {"3. low":"19.3400","5. volume":"908014900","1. open":"19.5900","2. high":"20.9300","4. close":"20.4900"}
"2015-05-29" : {"3. low":"24.0700","5. volume":"523813798","1. open":"24.2600","2. high":"25.0600","4. close":"24.6000"}
"2018-02-28" : {"3. low":"26.7600","5. volume":"1511800044","1. open":"29.6800","2. high":"30.0500","4. close":"28.8700"}
"2017-09-29" : {"3. low":"23.7900","5. volume":"1169045490","1. open":"24.7300","2. high":"25.8600","4. close":"25.8600"}
"2009-09-30" : {"3. low":"13.7400","5. volume":"2138994600","1. open":"14.5900","2. high":"15.4400","4. close":"14.9400"}
"2019-07-31" : {"3. low":"27.7100","5. volume":"824704194","1. open":"27.9200","2. high":"28.7200","4. close":"28.2500"}
"2010-04-30" : {"3. low":"15.9200","5. volume":"2579588200","1. open":"16.0800","2. high":"17.1200","4. close":"16.1600"}
"2014-01-31" : {"3. low":"20.8600","5. volume":"930520700","1. open":"21.8200","2. high":"22.1600","4. close":"21.0600"}
"2020-02-28" : {"3. low":"25.9700","5. volume":"1130625326","1. open":"30.1700","2. high":"31.3800","4. close":"26.5900"}
"2012-03-30" : {"3. low":"14.4000","5. volume":"1942587700","1. open":"14.8000","2. high":"16.0100","4. close":"15.7950"}
"2010-11-30" : {"3. low":"14.3600","5. volume":"1900771300","1. open":"14.5900","2. high":"15.6800","4. close":"14.4600"}
"2018-03-29" : {"3. low":"26.7700","5. volume":"1305445327","1. open":"28.8800","2. high":"29.8100","4. close":"27.5700"}
"2020-01-31" : {"3. low":"29.7500","5. volume":"862717849","1. open":"30.8900","2. high":"31.1000","4. close":"29.9600"}
"2019-02-28" : {"3. low":"25.3400","5. volume":"803710140","1. open":"25.9800","2. high":"26.8200","4. close":"26.5200"}
"2012-02-29" : {"3. low":"14.1800","5. volume":"1291226400","1. open":"14.1800","2. high":"14.9600","4. close":"14.7600"}
"2010-09-30" : {"3. low":"13.7200","5. volume":"1581861900","1. open":"13.7300","2. high":"14.9700","4. close":"14.3445"}
"2008-10-31" : {"3. low":"12.7900","5. volume":"5630346400","1. open":"19.8600","2. high":"20.7000","4. close":"15.5000"}
"2016-09-30" : {"3. low":"18.9400","5. volume":"1133727021","1. open":"24.6200","2. high":"24.6400","4. close":"19.3000"}
"2015-12-31" : {"3. low":"23.2421","5. volume":"993361560","1. open":"24.6500","2. high":"24.8900","4. close":"23.8300"}
"2017-08-31" : {"3. low":"24.3500","5. volume":"1088309499","1. open":"25.2600","2. high":"25.5900","4. close":"24.7000"}
"2011-03-31" : {"3. low":"15.7900","5. volume":"1852842800","1. open":"16.9000","2. high":"16.9000","4. close":"16.3900"}
"2014-07-31" : {"3. low":"22.4000","5. volume":"585759900","1. open":"22.7900","2. high":"23.0700","4. close":"22.4100"}
"2015-04-30" : {"3. low":"23.9200","5. volume":"516974699","1. open":"24.0500","2. high":"24.5400","4. close":"24.1300"}
"2013-02-28" : {"3. low":"17.1600","5. volume":"965899400","1. open":"17.4699","2. high":"17.9400","4. close":"17.5900"}
"2009-04-30" : {"3. low":"8.5400","5. volume":"4389070500","1. open":"8.5600","2. high":"11.3300","4. close":"10.7300"}
"2011-08-31" : {"3. low":"11.8100","5. volume":"3330697100","1. open":"15.0300","2. high":"15.0300","4. close":"13.3800"}
"2018-08-31" : {"3. low":"27.6100","5. volume":"998461829","1. open":"28.1300","2. high":"28.7200","4. close":"28.3300"}
"2017-03-31" : {"3. low":"22.9750","5. volume":"1919893539","1. open":"25.0100","2. high":"25.2950","4. close":"23.7300"}
"2009-10-30" : {"3. low":"13.9700","5. volume":"2304380300","1. open":"14.8600","2. high":"15.7600","4. close":"14.0500"}
"2015-01-30" : {"3. low":"23.0000","5. volume":"850012497","1. open":"24.8600","2. high":"24.9000","4. close":"23.0100"}
"2019-08-30" : {"3. low":"25.9200","5. volume":"1332509455","1. open":"28.2300","2. high":"28.4200","4. close":"26.9200"}
"2018-09-28" : {"3. low":"27.5400","5. volume":"894246435","1. open":"28.2700","2. high":"29.0700","4. close":"27.5800"}
